id,isResult,side,h,a,goals,xG,datetime,forecast,result,ref_team_id
16665,True,h,"{'id': '81', 'title': 'West Ham', 'short_title': 'WHU'}","{'id': '71', 'title': 'Aston Villa', 'short_title': 'AVL'}","{'h': '2', 'a': '1'}","{'h': '1.58468', 'a': '1.05391'}",2022-03-13 14:00:00,"{'w': 0.49663277916087745, 'd': 0.2509228946079067, 'l': 0.2524443260570483}",w,81
16673,True,a,"{'id': '82', 'title': 'Tottenham', 'short_title': 'TOT'}","{'id': '81', 'title': 'West Ham', 'short_title': 'WHU'}","{'h': '3', 'a': '1'}","{'h': '2.54795', 'a': '0.644964'}",2022-03-20 16:30:00,"{'w': 0.7855972969433074, 'd': 0.1418465147990249, 'l': 0.07255610030310318}",l,81
16677,True,h,"{'id': '81', 'title': 'West Ham', 'short_title': 'WHU'}","{'id': '72', 'title': 'Everton', 'short_title': 'EVE'}","{'h': '2', 'a': '1'}","{'h': '1.49657', 'a': '0.657846'}",2022-04-03 13:00:00,"{'w': 0.5752780063469816, 'd': 0.26151819568898776, 'l': 0.16320379788415862}",w,81
16693,True,a,"{'id': '244', 'title': 'Brentford', 'short_title': 'BRE'}","{'id': '81', 'title': 'West Ham', 'short_title': 'WHU'}","{'h': '2', 'a': '0'}","{'h': '1.85534', 'a': '0.244824'}",2022-04-10 13:00:00,"{'w': 0.7733736218052762, 'd': 0.18469424819281716, 'l': 0.041932128565788075}",l,81
16697,True,h,"{'id': '81', 'title': 'West Ham', 'short_title': 'WHU'}","{'id': '92', 'title': 'Burnley', 'short_title': 'BUR'}","{'h': '1', 'a': '1'}","{'h': '2.79175', 'a': '1.88137'}",2022-04-17 13:15:00,"{'w': 0.5715996721737476, 'd': 0.17581707795474139, 'l': 0.2525829718343632}",d,81
16711,True,a,"{'id': '80', 'title': 'Chelsea', 'short_title': 'CHE'}","{'id': '81', 'title': 'West Ham', 'short_title': 'WHU'}","{'h': '1', 'a': '0'}","{'h': '2.34959', 'a': '0.388975'}",2022-04-24 13:00:00,"{'w': 0.815311549675861, 'd': 0.13871595173101506, 'l': 0.04597246724474284}",l,81
16717,True,h,"{'id': '81', 'title': 'West Ham', 'short_title': 'WHU'}","{'id': '83', 'title': 'Arsenal', 'short_title': 'ARS'}","{'h': '1', 'a': '2'}","{'h': '0.451976', 'a': '0.964564'}",2022-05-01 15:30:00,"{'w': 0.1685633603035164, 'd': 0.360393273972599, 'l': 0.47104336572370414}",l,81
16726,True,a,"{'id': '79', 'title': 'Norwich', 'short_title': 'NOR'}","{'id': '81', 'title': 'West Ham', 'short_title': 'WHU'}","{'h': '0', 'a': '4'}","{'h': '0.77895', 'a': '3.25894'}",2022-05-08 13:00:00,"{'w': 0.05495174229918869, 'd': 0.10023517476610953, 'l': 0.844811256311763}",w,81
16737,True,h,"{'id': '81', 'title': 'West Ham', 'short_title': 'WHU'}","{'id': '88', 'title': 'Manchester City', 'short_title': 'MCI'}","{'h': '2', 'a': '2'}","{'h': '1.0088', 'a': '2.14723'}",2022-05-15 13:00:00,"{'w': 0.1675469571303768, 'd': 0.19862742827621188, 'l': 0.63382560479501}",d,81
16748,True,a,"{'id': '220', 'title': 'Brighton', 'short_title': 'BRI'}","{'id': '81', 'title': 'West Ham', 'short_title': 'WHU'}","{'h': '3', 'a': '1'}","{'h': '1.67774', 'a': '0.268845'}",2022-05-22 15:00:00,"{'w': 0.7309664822986754, 'd': 0.21478874438711773, 'l': 0.05424477293966121}",l,81
